"","UMAP_1","UMAP_2"
"BC01_04",14.777304293861,-3.7070890346244
"BC01_05",14.8538099548717,-3.49169859082252
"BC01_06",14.9028574249645,-3.56628164441139
"BC01_08",15.1886202118297,-3.40170773655921
"BC01_10",15.2079511902233,-3.71026012093574
"BC01_12",15.0860887787243,-3.36802312523872
"BC01_33",15.2531801483532,-3.78085085541755
"BC01_34",15.1292501709362,-3.61022433430702
"BC01_53",14.7685743591686,-3.3334535041526
"BC01_55",15.1284319183727,-3.19559523255378
"BC01_57",15.0833536407848,-3.84869763047248
"BC01_66",14.9843736908336,-3.29336997658759
"BC01_69",14.9129816315075,-3.45261260659248
"BC01_70",15.3287435791393,-3.59834071785957
"BC01_72",14.9810663483044,-3.37804135472327
"BC01_77",14.7561899444958,-3.42222437054664
"BC01_87",14.7084070465465,-3.51401433140785
"BC01_95",15.1609655640026,-3.46244475037605
"BC02_02",16.1689497253795,-7.10281821877509
"BC02_08",16.5380846283336,-8.71486636788398
"BC02_09",16.4621816894909,-8.98483249337226
"BC02_10",16.2877012512585,-7.4021641889289
"BC02_11",16.2805963776012,-7.85425826699287
"BC02_12",16.1817480347057,-8.12239858300239
"BC02_13",16.2797571442028,-7.20467635781318
"BC02_14",16.1442362091442,-8.23269244820625
"BC02_15",16.7722479126354,-8.60350343377143
"BC02_18",16.0281759521862,-7.58173104912788
"BC02_19",15.8568378708263,-8.32218047768623
"BC02_24",15.8750273010631,-8.60622235924751
"BC02_25",15.9987856171032,-8.75367852837592
"BC02_26",16.5798822662731,-7.25390073449165
"BC02_28",15.9647394440075,-7.18991538674384
"BC02_31",16.7653642914196,-8.20120069176704
"BC02_34",15.516523005714,-8.55638190896064
"BC02_44",16.8500906250378,-7.97031327874213
"BC02_50",16.6532541534801,-7.9444758573249
"BC02_51",16.5421072266003,-7.55706760079414
"BC02_53",16.3098837158581,-8.02730962426215
"BC02_54",16.2433401367565,-7.04187223107368
"BC02_55",16.3817621490856,-7.6330196538642
"BC02_58",16.8565107605358,-8.25079938561469
"BC02_59",15.6993261597057,-8.44103309304267
"BC02_60",4.1272135994335,-1.02557059914619
"BC02_62",16.0548826477428,-8.54517766625434
"BC02_63",16.4193884155651,-8.10873958260566
"BC02_64",16.5934358856579,-8.36291810662299
"BC02_66",16.134503009071,-8.00803348214179
"BC02_67",16.5142618439098,-7.17237731606513
"BC02_68",16.6384321472545,-7.56004974038154
"BC02_70",15.8626743576427,-9.01971742302924
"BC02_71",16.0744005463024,-7.60624000222236
"BC02_73",16.3850199005504,-7.09792825371772
"BC02_74",16.2634569427868,-7.39584609658271
"BC02_75",16.1112257263561,-8.00179025322944
"BC02_76",16.5384756348034,-8.74755450875312
"BC02_79",16.6100240967174,-8.57595321328193
"BC02_81",16.192566516151,-7.10126563698798
"BC02_82",15.74131930088,-7.91726371438056
"BC02_83",15.8455158493419,-7.93136617333442
"BC02_86",15.6556955597301,-8.30683919579536
"BC02_88",16.6287103912731,-7.98842403084785
"BC02_89",16.2541776916881,-8.16263076455146
"BC02_90",16.133412005653,-7.3109137693122
"BC02_93",16.7062650940319,-7.52135154397041
"BC02_94",16.2578550598522,-8.89169952065498
"BC02_95",15.8170019409557,-8.92812320382148
"BC02_96",16.7384344360729,-8.10647555977851
"BC03_03",2.59827053760489,-3.07742449433357
"BC03_06",2.96903598522147,-4.12801405579597
"BC03_09",6.45451653217276,3.94773319571465
"BC03_11",6.38757527088126,4.01503733008355
"BC03_13",6.7350279114147,3.66444042532891
"BC03_16",6.61397564624747,3.78598955481499
"BC03_17",6.53489172672232,3.86356523840874
"BC03_19",6.7806297562023,3.62069395392388
"BC03_20",6.29090035175284,4.10884741156548
"BC03_21",6.56242859577139,3.83634022086114
"BC03_23",6.52793467258414,3.87184980719537
"BC03_24",2.87473857616385,-4.17810794503242
"BC03_26",6.62347901081045,3.77727201788872
"BC03_28",2.76503026699026,-4.09220883042365
"BC03_29",6.4374901077648,3.96350696890801
"BC03_35",6.69224322055777,3.705507548742
"BC03_37",6.62132895206412,3.7781918367669
"BC03_41",6.72256434177359,3.67740038245171
"BC03_43",6.326629760017,4.07401016562432
"BC03_50",2.12525427555045,-2.56966024429351
"BC03_58",2.05158841823538,-2.65179016978294
"BC03_60",2.70895230983694,-3.9455527940467
"BC03_78",2.12318480228384,-2.96936949879676
"BC03_81",2.90232908939322,-3.80460223347694
"BC03_92",2.67560875629385,-3.41664466053993
"BC03_93",2.64951956485709,-3.96736046463996
"BC03_94",2.42576968883475,-3.09901520401984
"BC04_01",0.52110451673468,2.55054405539483
"BC04_02",2.27193415378531,1.68002298682183
"BC04_07",0.136274906148513,2.24730089514703
"BC04_08",-4.04005229259531,-4.09412357003242
"BC04_09",-0.194647578249375,1.9916174730584
"BC04_11",2.48505676006277,1.69033840506524
"BC04_13",0.509495558490356,2.50890282004327
"BC04_14",2.42546546672781,1.47388318388909
"BC04_16",2.53777229999503,1.27996161787957
"BC04_20",-0.16598832766215,2.30465868323296
"BC04_21",3.09788096164664,-1.67646196276695
"BC04_22",2.40246975635489,1.19243887274712
"BC04_23",0.590329887618621,2.06439903586358
"BC04_24",0.218961688031753,2.20603540747613
"BC04_27",0.225617530097564,2.36499241202325
"BC04_28",2.483696582069,1.26837137549371
"BC04_29",-0.071030130336682,2.53912237494439
"BC04_30",2.58193981861075,1.192079814367
"BC04_31",0.339357586850723,1.79256394713372
"BC04_32",0.570898236980041,1.95387199728936
"BC04_33",0.0152556917568048,2.32014683096856
"BC04_35",3.35297668193777,-1.244967309542
"BC04_36",0.824175300349792,1.75400570242852
"BC04_37",0.468218030681213,2.04172542899102
"BC04_40",2.14599955295523,1.60234287589043
"BC04_41",1.59395539974173,1.99684408514947
"BC04_45",1.34693491672476,2.13983562796563
"BC04_49",0.187954904784759,2.17898777335137
"BC04_54",2.29877054904898,1.52111843436211
"BC04_56",1.71158886169394,1.91010669081658
"BC04_59",2.02496135448416,1.48840764372796
"BC04_60",0.616066875209411,2.1746442636773
"BC04_61",2.52613389705618,1.43163207381219
"BC04_62",2.39597547267874,1.02295235007256
"BC04_63",1.16024053310355,1.73014262526482
"BC04_64",0.153350653400024,2.28437736838311
"BC04_66",0.370675565948089,1.35377243369073
"BC04_69",1.94298732494315,1.75470236151665
"BC04_71",0.172633948077758,1.67200353949517
"BC04_72",3.48852312778433,-1.29676410347968
"BC04_77",3.02276790355643,-1.29233118683845
"BC04_78",0.341596396913131,2.5831439813897
"BC04_85",0.604533853282531,1.91059234946221
"BC04_86",0.461814405669769,1.87137297003716
"BC04_88",1.84907293533285,1.65917065947503
"BC04_89",1.99473297809561,-2.60788437516242
"BC04_90",0.104801925172408,1.83172109930962
"BC04_91",2.24701106761893,1.46703246443719
"BC04_92",2.16700995181998,1.28275254576653
"BC04_93",0.370802106608947,2.38091066687554
"BC04_96",2.35527813648184,-2.5107899883464
"BC05_01",-15.7835420348744,10.5414884409234
"BC05_02",-17.5695546844105,11.1157243570611
"BC05_04",-16.0062059142689,10.284129889898
"BC05_07",-17.6379598357777,9.23384359686822
"BC05_08",-18.0404084899525,10.4467161020562
"BC05_09",-17.3463205077747,11.6764419397637
"BC05_12",-17.5329717376331,10.7175462564752
"BC05_13",-16.4419683196644,12.0721500238702
"BC05_16",-16.7716897704701,11.6729286035821
"BC05_17",-17.1400960662464,9.48696783392876
"BC05_18",-17.3639177062611,9.31646231024712
"BC05_20",-16.5849679687122,11.5709989389703
"BC05_21",-17.7557595946888,10.7516010126397
"BC05_22",-15.9873727538685,10.2119090875909
"BC05_23",-17.8194307067494,10.8807895502374
"BC05_25",-16.4799741485218,9.87731150000542
"BC05_26",-17.8799947478871,9.39410570471734
"BC05_27",-15.9577048995594,10.8196866831109
"BC05_28",-17.4800714233021,9.65151193945855
"BC05_29",-17.6312612273792,9.92498472540826
"BC05_30",-18.2636998870472,9.65321901648492
"BC05_31",-17.2293313720326,11.3675802072808
"BC05_32",-17.64429032589,9.99578741400689
"BC05_33",-16.7024148681263,11.9816682657525
"BC05_34",-16.1309846618275,11.148649962835
"BC05_35",-15.8401569106678,10.3989084085748
"BC05_36",-17.482087490807,11.273972304754
"BC05_37",-16.5807260253529,10.9124343714044
"BC05_38",-16.626748440514,11.8367250284478
"BC05_39",-16.3086980559925,10.5371377786919
"BC05_41",-17.8074678161244,10.2224176248834
"BC05_42",-17.1897996642689,11.7306373438165
"BC05_43",-16.7344697692494,11.93578031867
"BC05_44",-15.6665843703846,10.2949645838067
"BC05_45",-17.6233266570667,10.8844297251031
"BC05_46",-16.8533242919544,11.5783183893487
"BC05_47",-17.0654786803822,11.3533523401544
"BC05_48",-17.0773290374378,10.0900333246514
"BC05_49",-17.5930017211537,10.9213311991021
"BC05_50",-17.4731935241322,10.3033788523003
"BC05_52",-18.0799134948353,10.3221004328057
"BC05_53",-16.2554849364857,11.4861648401544
"BC05_55",-15.8840888717274,10.231000693731
"BC05_57",-16.8487104156117,10.0789201578423
"BC05_59",-16.0820325591664,10.6797807535455
"BC05_60",-17.7913049438099,10.8516366800591
"BC05_61",-17.3577684142689,11.4321925958917
"BC05_62",-16.4314702727894,10.6730153879449
"BC05_63",-16.4503263213734,11.451574119024
"BC05_64",-16.2668927886585,11.4078176340386
"BC05_68",-16.8841947295765,10.0872400125787
"BC05_69",-17.0293058135609,11.2802217325494
"BC05_70",-16.9208558776478,10.3731563410088
"BC05_71",-17.8478406646351,9.53372934668511
"BC05_72",-16.5695966460804,11.8434493860528
"BC05_73",-18.0163148620228,10.2517717203423
"BC05_74",3.99715388034781,-1.22478243500739
"BC05_75",-18.1252340056996,10.1563241800591
"BC05_77",-17.8325856902699,9.80707529395074
"BC05_78",-16.7076143004994,10.6161020120904
"BC05_79",-17.7709726073841,10.1724756082818
"BC05_80",-18.0542348601917,10.6153600534722
"BC05_81",-17.8312715270619,10.1602237543389
"BC05_83",-17.2051652648548,11.5341737589166
"BC05_84",-18.0361570098499,9.57348612158746
"BC05_85",-17.337369320641,9.85273626654595
"BC05_86",-16.6401818969349,10.8187682947442
"BC05_87",-17.1538175323109,11.4458873590752
"BC05_88",-16.161624310265,11.5188587030694
"BC05_90",-18.1333173492054,9.77410677283257
"BC05_91",-17.8440507629017,9.79846647589654
"BC05_92",-17.8486379363636,10.7609117349908
"BC05_93",-17.6153424956898,9.34126356451958
"BC05_94",-16.6557534911732,11.4262435755059
"BC05_95",-16.9504655578236,11.6333577951714
"BC05_96",-17.7252248504261,9.90789869635552
"BC06_04",3.83012736057242,-2.93176397473365
"BC06_10",-2.71040856624643,0.0386603197380899
"BC06_23",-2.52839934612314,0.0102958998009561
"BC06_25",3.29946363185843,-3.70678373963386
"BC06_27",-2.96776020313303,0.159750970296562
"BC06_28",-2.41114461208383,0.154012235097587
"BC06_29",3.919487597694,-2.60158011109382
"BC06_32",-2.83445703769724,0.202647002629936
"BC06_39",-2.67352282787363,0.206484588079154
"BC06_40",3.04156577800711,-3.9538650193885
"BC06_43",16.7843157074352,-8.55153438241035
"BC06_60",-2.45215427661935,-0.00711771637946379
"BC06_74",-2.51495873714487,0.0403402170464395
"BC07_01",-1.86877548481027,-6.33179113060981
"BC07_03",3.96836102222403,-3.09729894787818
"BC07_04",3.50241124843558,-1.73133808166534
"BC07_06",-0.987968085060517,-6.23891946465522
"BC07_07",-2.09428667808572,-5.23680707604438
"BC07_08",-0.70922380472223,-6.01682755143195
"BC07_09",3.19923889850577,-1.55641558558494
"BC07_12",-1.25194942737619,-6.36652967125922
"BC07_16",2.22826111530264,-3.03916212708503
"BC07_18",-1.39892506385843,-6.64992639214545
"BC07_20",-1.79163312698404,-6.01881620080024
"BC07_23",15.9369131348034,-9.0939252057746
"BC07_24",-1.45459913993875,-5.92420288712531
"BC07_27",-0.757194934139649,-6.36184808403999
"BC07_30",2.23345267986258,-2.46541097552329
"BC07_31",-0.791146812687318,-6.25749656350166
"BC07_35",-1.53854906345407,-6.23469993264228
"BC07_36",-1.37698566700021,-6.55485555321723
"BC07_38",-0.790073333034913,-6.08999368340522
"BC07_39",-1.25564944530527,-6.40897676140815
"BC07_42",-3.81431042934457,-4.34777065903693
"BC07_43",-1.20275127674143,-6.64788934380561
"BC07_44",-1.1776062228779,-6.07892009408027
"BC07_50",3.45042121623953,-2.24861645490676
"BC07_52",-3.91960465694467,-4.06608840615302
"BC07_55",-3.37979590679208,-4.23260065705329
"BC07_56",2.72330296253165,-2.81577858120948
"BC07_57",-0.768896398792664,-5.92045590073615
"BC07_58",-1.94075715328256,-5.32365986496955
"BC07_59",-1.05425339723627,-6.02774783761054
"BC07_60",2.5727919361492,-2.67163142354041
"BC07_61",-0.502061275492112,-5.8143706002906
"BC07_63",2.69804942821463,-3.75161251217872
"BC07_65",-1.55532908226053,-6.0946485677436
"BC07_66",-1.4949855783085,-6.54037925393134
"BC07_67",-1.20715343738596,-6.37788554818183
"BC07_69",2.73335492824515,-2.5831482687667
"BC07_72",1.88066184734305,-3.13326009900123
"BC07_73",-1.72448599124948,-5.7619955220893
"BC07_75",-1.69874298358957,-6.19654962212592
"BC07_78",-1.89351486946146,-6.1518675962165
"BC07_79",3.44177901958426,-2.06212726679444
"BC07_83",3.58503568386038,-2.38010185749084
"BC07_87",-1.23582446361581,-6.2448007741645
"BC07_89",-1.72930514598886,-6.22213050515205
"BC07_93",3.86938846324881,-3.18354794175178
"BC07_95",-3.76003801609079,-3.86372515351325
"BC08_01",-4.02926528240244,-3.95852121502906
"BC08_04",-3.7658323028187,-4.10187193543464
"BC08_06",-3.71170818592111,-1.57805350214988
"BC08_08",-3.65568339611093,-0.946420876093209
"BC08_10",3.91805708621939,-1.87231507689506
"BC08_22",-3.44955503726999,-1.15156695038825
"BC08_24",-3.17548072124521,-1.36730143219978
"BC08_27",-3.58993184352914,-1.29930242688209
"BC08_31",-3.96168339038889,-4.26627298981696
"BC08_33",-3.51962840343515,-1.34653481633216
"BC08_36",-3.10440003658334,-1.40199115664512
"BC08_48",-2.8722501971821,-1.18265315682441
"BC08_51",-3.39348828578989,-1.39395162255317
"BC08_54",-3.88388216281931,-4.15330073029548
"BC08_56",-2.97785389209787,-1.10622492224723
"BC08_59",-3.14492714191476,-1.04768487603217
"BC08_70",-3.83227765346567,-0.826300112314522
"BC08_73",-3.37248456264536,-1.19344368369132
"BC08_88",-4.10143029476206,-4.24067851693183
"BC08_94",-3.12242281223337,-1.28240367562324
"BC08_95",-3.02830517078439,-1.44336655528098
"BC09_05",3.70066201900442,-1.04152497441322
"BC09_13",-1.57607018734018,-1.11255094201118
"BC09_19",1.31538176750143,-2.00811450720578
"BC09_25",4.05927050327261,-0.72839244992286
"BC09_29",3.73803985332449,-0.682884422846139
"BC09_33",4.25236141895254,-0.703349677629769
"BC09_34",3.82570231174429,-0.992446748323739
"BC09_37",3.58306896900137,-1.54293361098319
"BC09_42",3.94797432636221,-1.22803339154273
"BC09_44",-1.22559988285104,-1.41759571225196
"BC09_45",3.6890462658306,-0.92205700070411
"BC09_46",4.00731671070059,-0.938498226709664
"BC09_48",3.9381905815502,-0.819150773592293
"BC09_49",1.27885353778799,-2.43846040756255
"BC09_50",-1.43326580310861,-1.40607782990485
"BC09_53",3.21080935214957,-3.56670507580787
"BC09_57",1.40485668395956,-1.96077889741212
"BC09_64",4.45689785694083,-3.64859875828773
"BC09_65",4.1806107780834,-0.830645052500069
"BC09_70",-3.90886461521188,-3.91250666768104
"BC09_83",4.04192173694571,-1.02019044549018
"BC09_86",1.42939186309775,-2.39397153050452
"BC09_92",3.81161630367239,-1.12275752217323
"BC09_93",1.59901070808371,-2.08516338445991
"BC09_Re_01",-1.26770841861765,-1.30532738358527
"BC09_Re_05",-1.51889693523447,-1.3495268502906
"BC09_Re_06",1.12534666274985,-2.37149297983199
"BC09_Re_07",1.35936129306753,-2.61718889863044
"BC09_Re_13",-1.73090815330545,-1.25673731953651
"BC09_Re_14",1.54214716171225,-2.14828844160587
"BC09_Re_15",4.06923544620474,-3.14380594880134
"BC09_Re_21",4.28136837696036,-3.56061336190254
"BC09_Re_32",4.51248657916983,-3.52306458146125
"BC09_Re_39",1.41459703659018,-2.27944345564395
"BC09_Re_41",4.35152352069815,-3.25249132306129
"BC09_Re_43",4.37226021503409,-3.36191043049842
"BC09_Re_44",4.54664814685782,-3.43289562851936
"BC09_Re_46",2.64517343257864,-1.64268711001426
"BC09_Re_57",4.54026568149527,-3.3249233642295
"BC09_Re_59",4.41934406970938,-3.43753084332496
"BC09_Re_61",3.20650136684378,-3.55156633049995
"BC09_Re_62",1.83325278972586,-2.28588473588973
"BC09_Re_66",1.38317525600394,-2.26736114711314
