"","tSNE_1","tSNE_2"
"BC07_44",-1.87838027985232,-4.40505202720871
"BC07_50",7.80340355664913,-10.5969920639649
"BC07_52",2.28374159671369,-3.07978083827484
"BC07_55",-0.231426769813514,-2.01492182659481
"BC07_56",2.1700709075713,-9.82834731897492
"BC07_57",-1.62743334289776,-5.93729112778729
"BC07_58",-1.64737639945061,-2.27953023188683
"BC07_59",-1.60754791262003,-5.59902165958015
"BC07_60",2.32128469007247,-9.22388294893817
"BC07_61",-1.21815636976627,-6.25745900980283
"BC07_63",0.249933432908022,-11.9592210608846
"BC07_65",-3.37924897116516,-4.13057318535464
"BC07_66",-3.38587473926249,-4.83885154642535
"BC07_67",-2.7266565038178,-4.64827258638064
"BC07_69",2.18673454541136,-9.56545796214263
"BC07_72",0.943947199878228,-9.18411397388836
"BC07_73",-2.27793893307086,-3.24488083120968
"BC07_75",-3.5819483526605,-3.46603580123598
"BC07_78",-3.85784066561628,-3.29942424367536
"BC07_79",8.01399684383428,-10.2486299936268
"BC07_83",7.86724167321883,-10.6453913872677
"BC07_87",-2.57857561472577,-4.4637873847899
"BC07_89",-3.57196570857698,-3.43439446022457
"BC07_93",6.65557851446558,-11.8763978711847
"BC07_95",2.59903634887167,-3.41043924529067
"BC08_01",2.3924431829009,-2.89523569735304
"BC08_04",1.86685488439212,-2.50954190157233
"BC08_06",0.47510186302004,1.79940366042123
"BC08_08",1.46043072497335,3.1690151737991
"BC08_10",9.1750567718129,-10.7840789854502
"BC08_22",1.53740231158054,2.43823633935598
"BC08_24",2.72258536543605,2.26423716642123
"BC08_27",0.873019054973715,1.88621712467208
"BC08_31",2.01778119743279,-2.6504328802415
"BC08_33",1.67727092772012,2.13848184991901
"BC08_36",2.26433042553876,1.69303349142808
"BC08_48",3.09739013235272,2.59541363396434
"BC08_51",1.93668521524901,2.25645214197818
"BC08_54",2.0220637259686,-2.59970277794589
"BC08_56",2.83398236293463,2.51264487110892
"BC08_59",2.61046971437329,2.61437653085148
"BC08_70",1.26673371176856,3.13481109920266
"BC08_73",1.73212062589099,2.26478462132017
"BC08_88",2.25227241527531,-2.8159711371849
"BC08_94",2.85379499036327,2.4852588093558
"BC08_95",2.86979735328378,2.36148766666575
"BC09_05",10.5180654583512,-10.6325555802247
"BC09_13",6.95914179711202,0.35340341902167
"BC09_19",4.36440361921738,-9.28468650451944
"BC09_25",10.3500477740084,-9.88974027850186
"BC09_29",10.7597568967038,-10.1999949868451
"BC09_33",10.2541499882807,-10.0945018466359
"BC09_34",10.9301549628282,-10.2096441747928
"BC09_37",9.48066651916385,-10.5467720857177
"BC09_42",10.261837651719,-11.0347480946261
"BC09_44",6.90461085218307,-0.784565088517905
"BC09_45",10.7646030479131,-10.6473215249439
"BC09_46",11.3288024521094,-10.6418114958597
"BC09_48",11.21029217686,-10.3381160626285
"BC09_49",4.24152699954986,-10.021817863357
"BC09_50",6.98568057208266,-0.381115413159255
"BC09_53",1.89215247599265,-13.4824644446445
"BC09_57",4.16235352213894,-9.09219109534349
"BC09_64",6.97182620579936,-13.4607921347941
"BC09_65",11.1075400613218,-10.7121740995707
"BC09_70",2.4839415726502,-2.95623183983054
"BC09_83",10.8051014356822,-10.7644032258246
"BC09_86",4.43201816748679,-10.55185438764
"BC09_92",10.5105168542457,-10.392453175197
"BC09_93",4.4178802536707,-9.73333776229606
"BC09_Re_01",6.88817389349974,-0.613793407661391
"BC09_Re_05",6.89385060113133,-0.277084983504867
"BC09_Re_06",3.43721610499769,-10.8090587708296
"BC09_Re_07",3.73353677503276,-10.5105083424966
"BC09_Re_13",6.91054873602581,0.547912558044821
"BC09_Re_14",4.6111767177705,-10.3572336322027
"BC09_Re_15",6.91486188555774,-12.4098357597905
"BC09_Re_21",6.77114115254936,-12.9674577385782
"BC09_Re_32",6.82526337443628,-13.3122351032736
"BC09_Re_39",4.28468722015773,-9.55292627151413
"BC09_Re_41",5.84342695495193,-12.5774043479797
"BC09_Re_43",6.86909400460986,-13.2189027006623
"BC09_Re_44",6.8409619430099,-13.6156908474829
"BC09_Re_46",6.03553813078998,-10.0492688284644
"BC09_Re_57",6.53073862035279,-13.1195134860221
"BC09_Re_59",6.53843011282855,-13.1455524283443
"BC09_Re_61",2.24582832613166,-13.4080488558427
"BC09_Re_62",4.63574061301337,-10.9867098483469
"BC09_Re_66",4.46255829756351,-10.9389242072953
"BC09_Re_74",4.48901098347602,-10.5370162332747
"BC09_Re_80",6.49777760009699,-13.1089781975442
"BC09_Re_83",4.80012755218286,-10.4261785685498
"BC09_Re_94",4.072963218171,-10.6447677742837
"BC09_Re_95",6.55600703522331,-12.8353238311135
"BC10_07",8.85568031811328,-10.4454842034888
"BC10_09",2.24379276592011,4.68613155191651
"BC10_16",3.03367776972638,4.0983957429263
"BC10_43",9.06599573303445,-10.940914055153
"BC10_47",3.08341472859541,4.83720030741677
"BC10_54",3.18734599450124,4.84015384873873
"BC10_58",3.18267901738703,4.46480146379161
"BC10_69",1.82424567406126,4.24842277899134
"BC10_73",3.19111323001442,4.83929464994251
"BC10_80",2.74034895316654,5.14052115465618
"BC10_81",1.73903833865656,4.06438977909047
"BC10_85",2.56691727958728,5.16973174794383
"BC10_95",2.21912824334,4.46257022213949
"BC11_01",4.95286747286923,-1.52250711362543
"BC11_04",4.44542940261427,-0.609859558454377
"BC11_07",5.69567474776941,-0.38851337801978
"BC11_28",3.89356972335221,-8.86821342264042
"BC11_43",4.52588136841569,-0.366562934872999
"BC11_56",4.40559652567984,-0.526451750501421
"BC11_69",4.69398863176815,0.622650239132013
"BC11_70",4.67787766588138,-0.045330955371601
"BC11_78",4.94458712183135,0.178161926371201
"BC11_81",4.69215819292307,0.658825965023074
"BC11_88",4.96441084488016,-0.548870958039338
