"gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster"
"SERPINB9",6.17925297605152e-30,0.965434865752188,0.926,0.35,6.48697977425888e-26,"0"
"MYO6",6.2562985070851e-30,-0.942738865446246,0.136,0.918,6.56786217273793e-26,"0"
"FGD2",6.76572516878409e-30,0.95988095503063,0.58,0.061,7.10265828218954e-26,"0"
"PTPRF",6.83734793108419e-30,-0.949298321651984,0.099,0.888,7.17784785805218e-26,"0"
"IKZF1",1.23769816597494e-29,0.89253729663932,0.593,0.068,1.29933553464049e-25,"0"
"CTSS",1.24997782163608e-29,1.14845749389289,0.79,0.218,1.31222671715356e-25,"0"
"HLA-A",1.39445695539054e-29,0.770168663206414,0.988,0.609,1.46390091176899e-25,"0"
"CD2",1.78790123077163e-29,1.17227570443829,0.593,0.075,1.87693871206406e-25,"0"
"SH3BGRL3",2.41268455743294e-29,0.557109838140146,0.975,0.925,2.53283624839311e-25,"0"
"CYTH4",4.0976302094302e-29,0.862091767935727,0.444,0.014,4.30169219385982e-25,"0"
"SPN",7.31709511509379e-29,0.707070381784495,0.457,0.017,7.68148645182546e-25,"0"
"HLA-B",7.36452328888875e-29,0.652342247433288,1,0.786,7.73127654867541e-25,"0"
"SOX9",8.71967195212317e-29,-1.00244217121965,0.037,0.857,9.1539116153389e-25,"0"
"MEF2C",1.28465907199699e-28,1.03037777476951,0.605,0.085,1.34863509378243e-24,"0"
"ITGAL",1.38473557858224e-28,0.848219945901535,0.543,0.048,1.45369541039564e-24,"0"
"TYROBP",2.66462827888952e-28,1.3831291295183,0.568,0.071,2.79732676717822e-24,"0"
"DOCK8",2.79665348597983e-28,0.968769368574688,0.802,0.262,2.93592682958163e-24,"0"
"CLDN4",3.24290928410128e-28,-1.02243845852215,0.111,0.898,3.40440616644953e-24,"0"
"LSP1",3.89265201753901e-28,0.995972284813621,0.679,0.129,4.08650608801245e-24,"0"
"ACTB",5.7910867438486e-28,0.345304652782326,1,1,6.07948286369226e-24,"0"
"ARHGAP15",7.38241869381759e-28,0.990469482933117,0.568,0.068,7.75006314476971e-24,"0"
"GRHL2",7.77089862338434e-28,-0.842896511437495,0.025,0.81,8.15788937482889e-24,"0"
"JAK3",9.55812374868887e-28,1.11997230788532,0.617,0.102,1.00341183113736e-23,"0"
"ESRP1",9.66217191637248e-28,-1.02724497288776,0.074,0.816,1.01433480778078e-23,"0"
"KRT8",1.15687740857015e-27,-0.934413611181972,0.272,0.942,1.21448990351695e-23,"0"
"CAPZA1",1.21260799787484e-27,0.412125092678607,0.988,0.973,1.27299587616901e-23,"0"
"TJP1",1.24108625014114e-27,-0.858238204040207,0.099,0.847,1.30289234539817e-23,"0"
"PFN1",1.858943340748e-27,0.518029698556615,0.988,0.895,1.95151871911725e-23,"0"
"CDC42SE2",2.23479553279536e-27,0.704817927250383,0.926,0.694,2.34608835032856e-23,"0"
"CELF2",2.27435976186147e-27,0.858106217564783,0.605,0.085,2.38762287800217e-23,"0"
"CCDC88A",3.57247717556147e-27,0.990170193412888,0.679,0.139,3.75038653890443e-23,"0"
"MNDA",4.57352777244087e-27,1.11393905727198,0.457,0.027,4.80128945550842e-23,"0"
"SDC1",4.67582897222395e-27,-1.06603785255583,0.062,0.82,4.9086852550407e-23,"0"
"EMP3",5.92765729179026e-27,1.06956447890575,0.716,0.187,6.22285462492141e-23,"0"
"CARD16",8.57804828770602e-27,1.1621337263483,0.654,0.136,9.00523509243378e-23,"0"
"APBB1IP",8.6351733191678e-27,0.861523683785042,0.568,0.071,9.06520495046236e-23,"0"
