gene_name,Model1_count,Model2_count,Model3_count,Positive1_count,Positive2_count,Positive3_count
Dppa3,0,0,0,0,0,0
1700022A22Rik,0,0,0,0,0,0
Gm29018,0,0,0,0,0,0
Vmn1r-ps34,0,0,0,0,0,0
Gm21114,0,0,0,0,0,0
Gm28763,0,0,0,0,0,0
BE692007,53,39,11,17,19,21
4731419I09Rik,0,0,0,5,1,0
Abca12,0,0,0,0,0,0
Olfr1105,0,0,0,0,0,0
Foxc1,55,37,34,37,33,22
Obox3-ps3,0,0,0,0,0,0
Olfr1106,0,0,0,0,0,0
Gm20627,0,0,1,2,2,0
Vmn1r-ps24,0,0,0,0,0,0
Vmn2r-ps4,0,0,0,0,0,0
Gm20700,0,0,0,0,0,0
Vmn1r22,0,0,0,0,0,0
Gm9843,1822,1484,2368,728,974,634
Olfr1104,0,0,0,0,0,0
4833422M21Rik,8,2,1,3,0,2
Gm26507,0,0,2,0,0,0
Gm10687,2,1,3,8,2,3
1110019D14Rik,107,108,96,88,109,64
Gm2061,0,0,0,0,0,0
Gm26508,0,0,0,0,0,0
Gm17597,4,3,5,1,2,1
A930012L18Rik,0,0,0,0,0,0
Olfr1107,0,0,0,0,0,0
Nme8,0,0,1,1,2,0
Zfp598,561,343,777,355,358,246
Smc1a,4127,4362,5267,2617,3326,2753
N4bp2l1,753,658,717,653,682,517
Ripk2,333,233,285,215,252,184
Cyyr1,54,41,48,70,36,19
1700020A23Rik,0,0,0,0,0,0
Srsf6,5939,4426,5801,4240,4583,3705
Cpxm1,13,7,6,5,3,2
Nr0b2,6,2,9,0,0,3
Tsg101,477,409,439,379,405,330
Hmgb1l,0,0,0,0,0,0
Vmn1r5,1,1,0,2,0,0
Gm17217,0,0,0,0,0,0
Vmn2r46,0,0,0,0,0,0
Fbxo6,198,155,216,78,121,66
4933427D06Rik,0,2,0,0,0,0
Map6,0,0,8,2,9,10
Hottip,0,0,0,0,0,0
Nell1,0,0,0,0,0,0
Enthd1,0,1,0,0,1,0
Usp29,0,0,0,0,0,0
Gm21887,0,0,0,0,0,0
Olfr424,0,0,0,0,0,0
Vmn1r-ps28,0,0,0,0,0,0
Gm17365,0,0,0,0,0,0
Oard1,491,520,554,325,380,300
Gm21718,0,0,0,0,0,0
Gm9772,0,0,0,0,0,0
Igkv4-73,0,0,0,0,0,0
Fbxw25,2,13,14,22,23,18
Gm17412,0,0,0,0,0,0
Col8a2,3,5,0,3,0,0
Nrn1l,4,0,3,0,0,4
Gm43654,246,191,165,250,217,169
Gm43012,0,3,0,0,4,4
Gm43526,0,4,0,8,0,1
Gm18985,0,0,0,0,0,0
C430019N01Rik,77,80,94,162,414,315
Gm10030,3,8,0,5,16,17
Olfr135,0,0,0,0,0,0
1700084M14Rik,0,0,0,0,0,0
Ubxn11,161,130,204,152,129,81
Aim1l,21,21,62,97,9,3
Apex2,505,501,430,486,429,429
Maged2,217,88,112,60,73,42
Gnl3l,1022,756,1464,468,932,369
Fgd1,33,2,12,12,4,4
Tsr2,287,184,340,116,157,98
Fam120c,271,146,247,175,155,112
Huwe1,14069,9491,14733,7270,7660,5847
Hsd17b10,392,299,415,158,229,144
Igkv1-117,0,0,0,0,0,0
Gm8247,0,0,0,0,0,0
Gm3286,0,0,0,0,0,0
Gm13693,0,0,0,0,0,0
Hist1h2bl,816,1038,3021,700,453,801
Iqcf6,0,0,0,0,0,0
Atp8b4,20372,23618,23631,20551,21241,17156
Vmn1r54,0,0,0,0,0,0
Dusp18,80,43,30,5,17,4
Olfr1495,0,0,0,0,0,0
Ostf1,2179,2391,2772,2457,3511,2215
Gm4691,4,4,4,1,0,0
Scgb2b15,0,0,0,0,0,0
Gm27028,6,1,5,7,3,3
Gm26917,703606,392704,826437,215120,243841,134632
Nnat,0,1,5,0,1,0
Blcap,332,305,356,281,283,240
Gm10605,8,9,3,5,6,2
1600017P15Rik,0,0,0,0,0,0
Olfr1352,0,0,0,0,0,0
Aldh1a1,127,43,41,28,60,18
Gm37371,0,0,0,0,0,0
RP23-78P7.2,0,0,0,0,0,0
Gm17062,0,0,0,0,0,0
Gm37372,0,0,0,0,0,0
Tlx2,0,0,0,0,0,0
Slc4a5,0,2,1,0,0,0
Htra2,518,526,817,408,408,271
Aup1,984,755,1315,707,662,425
Rhox7-ps2,0,0,0,0,0,0
Gm43188,7,6,4,4,2,7
Gm42943,12,1,0,1,0,2
Gm42991,127,55,59,44,67,37
Igkv4-73,0,0,0,0,0,0
Gm43683,0,0,0,0,0,0
Igkv2-95-1,0,0,0,0,0,0
Trav4-1,0,0,0,0,0,0
E330034L11Rik,83,148,76,149,136,97
Nmral1,656,523,677,251,270,208
Ube2d2b,0,0,0,3,1,0
Lppr1,0,0,0,0,0,0
Iglv2,5,0,3,0,2,1
Gm29347,0,0,0,0,0,0
Gm20912,0,0,0,0,0,0
Plekhd1,0,0,0,0,0,3
Gm28824,0,0,0,0,0,0
Gm29270,0,0,0,0,0,0
Gm29299,0,0,0,0,0,0
Gm28553,0,0,0,0,0,0
Gm28875,76,52,109,47,58,27
Gm28459,0,0,0,0,0,0
Gm29134,0,0,0,0,0,0
Gm20478,0,0,0,0,0,0
Vmn1r-ps65,0,0,0,0,0,0
Gm18808,0,0,0,0,0,0
Gm20518,22,80,7,46,17,19
Cyp21a2-ps,0,0,0,0,1,0
Gm20473,0,0,0,0,0,0
Vmn1r180,0,0,0,0,0,0
Kera,0,0,0,0,0,0
Mrln,1,1,0,1,0,2
Slc17a8,8,5,9,11,22,6
Epyc,0,0,0,0,0,0
Gm29567,0,0,0,0,0,0
Adamtsl3,1,9,11,38,14,19
Gm36931,333,268,261,486,657,429
Arih2,1104,832,1019,828,888,655
Mgat1,554,356,412,272,336,280
Rab44,4436,4110,5731,6067,6554,4442
Gm36997,0,0,0,0,1,0
Zfp69,30,18,51,44,31,17
Trim38,0,0,0,0,0,0
Pcdha9,0,0,0,0,0,0
Cyfip2,3913,3579,6415,3898,5994,3517
Trim60,0,0,0,0,0,0
