,TCGA-DD-A11D-01A-11R-A131-07,TCGA-DD-AACT-01A-11R-A41C-07,TCGA-G3-AAUZ-01A-11R-A38B-07,TCGA-EP-A26S-11A-12R-A16W-07
ENSG00000007174,0,1,0,1
ENSG00000007202,1298,918,2968,4250
ENSG00000007216,38,14,42,41
ENSG00000007237,54,87,131,207
ENSG00000007255,455,957,2049,1418
ENSG00000007264,46,71,165,86
ENSG00000007306,0,0,0,0
ENSG00000007312,58,54,165,153
ENSG00000007314,77,48,82,11
ENSG00000007341,177,112,167,357
ENSG00000007350,1,1,0,39
ENSG00000007372,13,34,42,65
ENSG00000007376,313,419,831,361
ENSG00000007384,439,248,140,147
ENSG00000007392,199,290,712,217
ENSG00000007402,5,21,10,44
ENSG00000007516,765,921,570,749
ENSG00000007520,736,1095,2831,1539
ENSG00000007541,1481,1260,1817,1316
ENSG00000007545,112,218,154,214
ENSG00000007866,315,996,367,288
ENSG00000007908,9,238,25,570
ENSG00000007923,634,453,252,968
ENSG00000007933,10273,16506,8939,25717
ENSG00000007944,116,128,94,195
ENSG00000007952,6,14,20,20
ENSG00000007968,22,32,197,5
ENSG00000008018,2777,4534,8837,7165
ENSG00000008056,13,13,15,14
ENSG00000008083,264,252,196,350
ENSG00000008086,187,60,97,173
ENSG00000008118,0,1,0,11
ENSG00000008128,112,94,181,83
ENSG00000008130,1419,2664,1690,3727
ENSG00000008196,0,0,0,0
ENSG00000008197,0,0,0,0
ENSG00000008226,14,7,27,35
ENSG00000008256,266,252,229,286
ENSG00000008277,3,20,2,14
ENSG00000008282,3927,2960,1844,2618
ENSG00000008283,1588,1165,1283,523
ENSG00000008294,1468,985,1802,2628
ENSG00000008300,456,20,213,14
ENSG00000008311,1088,54,520,2050
ENSG00000008323,57,450,483,170
ENSG00000008324,264,295,1009,691
ENSG00000008382,839,1473,2216,1908
ENSG00000008394,16642,14783,27277,50521
ENSG00000008405,685,293,383,470
ENSG00000008438,1,1,0,18
ENSG00000008441,1617,932,1144,1949
ENSG00000008513,2123,1262,11450,15786
ENSG00000008516,17,55,63,265
ENSG00000008517,3439,26022,40879,3657
ENSG00000008710,1201,730,1616,1440
